document, id, folder,total_out_count,total_in_count, total_out_unique_count, total_in_unique_count
"ST_SGB_2000_8-en.xml","ST/SGB/2000/8","TOP_1000",32,2,18,1
"A_60_140-en.xml","A/60/140","TOP_1000",23,0,19,0
"A_CN9_621-en.xml","A/CN.9/621","TOP_1000",83,85,3,15
"TRANS_WP30_AC2_69-en.xml","TRANS/WP.30/AC.2/69","TOP_1000",47,71,8,10
"TRANS_WP30_AC2_67-en.xml","TRANS/WP.30/AC.2/67","TOP_1000",85,28,11,7
"TRANS_WP30_214-en.xml","TRANS/WP.30/214","TOP_1000",23,24,6,12
"TRANS_WP30_215-en.xml","TRANS/WP.30/215","TOP_1000",8,49,2,16
"A_RES_58_213B-en.xml","A/RES/58/213B","TOP_1000",17,1,17,1
"A_57_289-en.xml","A/57/289","TOP_1000",19,0,18,0
"A_CN9_572-en.xml","A/CN.9/572","TOP_1000",51,56,8,10
"TRANS_WP30_192-en.xml","TRANS/WP.30/192","TOP_1000",57,2,17,1
"A_59_545-en.xml","A/59/545","TOP_1000",24,1,17,1
"E_CN4_2001_94-en.xml","E/CN.4/2001/94","TOP_1000",19,3,15,3
"TRANS_WP30_AC2_71-en.xml","TRANS/WP.30/AC.2/71","TOP_1000",12,109,7,11
"A_CN9_576-en.xml","A/CN.9/576","TOP_1000",86,51,8,9
"A_59_441-en.xml","A/59/441","TOP_1000",21,7,12,5
"A_60_121-en.xml","A/60/121","TOP_1000",42,1,16,1
"E_CN4_2003_135-E_2003_23SUPP-en.xml","E/CN.4/2003/135-E/2003/23(SUPP)","TOP_1000",0,39,0,17
"A_60_877-en.xml","A/60/877","TOP_1000",23,11,15,2
"TRANS_WP30_213-en.xml","TRANS/WP.30/213","TOP_1000",12,41,2,15
"TRANS_WP30_AC2_59-en.xml","TRANS/WP.30/AC.2/59","TOP_1000",67,3,15,2
"TRANS_WP30_216-en.xml","TRANS/WP.30/216","TOP_1000",12,24,5,12
"A_HRC_7_8-en.xml","A/HRC/7/8","TOP_1000",14,6,11,6
"A_59_174-en.xml","A/59/174","TOP_1000",22,10,9,8
"A_CN9_552-en.xml","A/CN.9/552","TOP_1000",142,22,10,7
"A_59_565-en.xml","A/59/565","TOP_1000",32,2,16,1
"A_57_285-en.xml","A/57/285","TOP_1000",24,4,16,1
"A_CN9_640-en.xml","A/CN.9/640","TOP_1000",84,25,9,8
"A_60_88-en.xml","A/60/88","TOP_1000",27,1,16,1
"A_56_16-en.xml","A/56/16","TOP_1000",27,1,16,1
"TRANS_WP30_AC2_73-en.xml","TRANS/WP.30/AC.2/73","TOP_1000",6,119,4,13
"A_57_786-en.xml","A/57/786","TOP_1000",24,5,16,1
"A_59_365-en.xml","A/59/365","TOP_1000",16,0,16,0
"A_62_17SUPP-en.xml","A/62/17(SUPP)","TOP_1000",0,72,0,16
"A_59_161-en.xml","A/59/161","TOP_1000",16,6,13,3
"TRANS_WP30_AC2_63-en.xml","TRANS/WP.30/AC.2/63","TOP_1000",37,18,11,5
"A_58_20-en.xml","A/58/20","TOP_1000",12,34,10,6
"A_CN9_485-en.xml","A/CN.9/485","TOP_1000",31,22,13,3
"A_CN9_WGI_WP43-en.xml","A/CN.9/WG.I/WP.43","TOP_1000",52,34,12,4
"E_CN4_2002_200-E_2002_23SUPP-en.xml","E/CN.4/2002/200-E/2002/23(SUPP)","TOP_1000",0,43,0,16
"A_55_874-en.xml","A/55/874","TOP_1000",57,10,14,2
"E_CN4_2001_114-en.xml","E/CN.4/2001/114","TOP_1000",24,0,16,0
"A_58_712-en.xml","A/58/712","TOP_1000",20,1,15,1
"A_59_420-en.xml","A/59/420","TOP_1000",18,0,16,0
"A_55_253-en.xml","A/55/253","TOP_1000",33,6,14,2
"E_CN4_2002_200PARTIADVMIMEO-E_2002_23PARTIADVMIMEO-en.xml","E/CN.4/2002/200 (PART I) (ADV.MIMEO)-E/2002/23 (PART I) (ADV.MIMEO)","TOP_1000",0,40,0,16
"A_64_17SUPP-en.xml","A/64/17(SUPP)","TOP_1000",0,28,0,15
"A_56_3-en.xml","A/56/3","TOP_1000",19,3,13,2
"A_56_20-en.xml","A/56/20","TOP_1000",20,27,12,3
"E_CN4_2006_67-en.xml","E/CN.4/2006/67","TOP_1000",16,1,14,1
"E_CN4_2006_95-en.xml","E/CN.4/2006/95","TOP_1000",13,3,13,2
"A_63_100_ADD1-en.xml","A/63/100/ADD.1","TOP_1000",0,28,0,15
"TRANS_WP30_211-en.xml","TRANS/WP.30/211","TOP_1000",12,28,2,13
"A_CN9_468-en.xml","A/CN.9/468","TOP_1000",71,1,14,1
"E_CN4_2002_106-en.xml","E/CN.4/2002/106","TOP_1000",16,4,14,1
"A_61_341-en.xml","A/61/341","TOP_1000",15,3,13,2
"A_CN9_WGIII_WP32-en.xml","A/CN.9/WG.III/WP.32","TOP_1000",235,242,10,5
"A_HRC_4_29-en.xml","A/HRC/4/29","TOP_1000",18,0,15,0
"TRANS_WP30_AC2_68-en.xml","TRANS/WP.30/AC.2/68","TOP_1000",94,39,7,8
"ECE_TRANS_139-en.xml","ECE/TRANS/139","TOP_1000",10,15,6,9
"E_CN4_2006_45-en.xml","E/CN.4/2006/45","TOP_1000",16,0,15,0
"A_CN9_526-en.xml","A/CN.9/526","TOP_1000",241,27,11,4
"A_CN9_WGI_WP52-en.xml","A/CN.9/WG.I/WP.52","TOP_1000",40,5,11,4
"A_57_124-en.xml","A/57/124","TOP_1000",30,0,15,0
"A_57_228-en.xml","A/57/228","TOP_1000",16,0,15,0
"E_CN4_2000_112-en.xml","E/CN.4/2000/112","TOP_1000",38,0,15,0
"A_CN9_WGI_WP65-en.xml","A/CN.9/WG.I/WP.65","TOP_1000",2,166,2,13
"A_CN9_664-en.xml","A/CN.9/664","TOP_1000",49,12,6,9
"ST_SGB_2003_7-en.xml","ST/SGB/2003/7","TOP_1000",59,3,13,2
"A_HRC_WG6_3_BDI_2-en.xml","A/HRC/WG.6/3/BDI/2","TOP_1000",1,13,1,13
"S_2006_507-en.xml","S/2006/507","TOP_1000",18,1,13,1
"TRANS_WP30_212-en.xml","TRANS/WP.30/212","TOP_1000",11,22,4,10
"E_CN4_2006_62-en.xml","E/CN.4/2006/62","TOP_1000",16,0,14,0
"A_61_214-en.xml","A/61/214","TOP_1000",35,0,14,0
"A_CN9_616-en.xml","A/CN.9/616","TOP_1000",60,78,4,10
"A_CN9_591-en.xml","A/CN.9/591","TOP_1000",52,43,6,8
"A_59_62-en.xml","A/59/62","TOP_1000",20,10,8,6
"A_56_400-en.xml","A/56/400","TOP_1000",13,2,13,1
"A_59_172-en.xml","A/59/172","TOP_1000",14,1,13,1
"A_55_977-en.xml","A/55/977","TOP_1000",11,57,9,5
"A_58_204-en.xml","A/58/204","TOP_1000",32,0,14,0
"JOURNALNO2004_220-en.xml","JOURNAL NO. 2004/220","TOP_1000",0,15,0,14
"A_RES_60_1-en.xml","A/RES/60/1","TOP_1000",5,11,5,9
"E_CN4_2005_78-en.xml","E/CN.4/2005/78","TOP_1000",19,0,13,0
"A_62_708-en.xml","A/62/708","TOP_1000",14,3,11,2
"E_CN4_2001_167-E_2001_23SUPP-E_2001_23-en.xml","E/CN.4/2001/167-E/2001/23(SUPP)-E/2001/23","TOP_1000",0,26,0,13
"A_HRC_WG6_1_POL_2-en.xml","A/HRC/WG.6/1/POL/2","TOP_1000",1,15,1,12
"TRANS_WP30_2003_11-en.xml","TRANS/WP.30/2003/11","TOP_1000",26,6,9,4
"A_CN9_WGI_WP70-en.xml","A/CN.9/WG.I/WP.70","TOP_1000",0,169,0,13
"A_HRC_WG6_1_FIN_2-en.xml","A/HRC/WG.6/1/FIN/2","TOP_1000",1,20,1,12
"A_61_357-en.xml","A/61/357","TOP_1000",17,2,11,2
"A_56_61-en.xml","A/56/61","TOP_1000",57,0,13,0
"A_CN9_WGI_WP38-en.xml","A/CN.9/WG.I/WP.38","TOP_1000",36,20,10,3
"A_HRC_4_31-en.xml","A/HRC/4/31","TOP_1000",16,0,13,0
"A_HRC_WG6_3_COL_2-en.xml","A/HRC/WG.6/3/COL/2","TOP_1000",1,14,1,12
"A_CN9_487-en.xml","A/CN.9/487","TOP_1000",29,22,10,3
"ECE_TRANS_156-en.xml","ECE/TRANS/156","TOP_1000",8,19,3,10
"A_62_477-en.xml","A/62/477","TOP_1000",12,3,10,3
"A_CN9_544-en.xml","A/CN.9/544","TOP_1000",104,33,7,6
"TRANS_WP30_207-en.xml","TRANS/WP.30/207","TOP_1000",1,35,1,12
"A_HRC_4_24-en.xml","A/HRC/4/24","TOP_1000",14,0,13,0
"A_HRC_4_23-en.xml","A/HRC/4/23","TOP_1000",14,1,12,1
"A_HRC_WG6_3_UZB_2-en.xml","A/HRC/WG.6/3/UZB/2","TOP_1000",1,12,1,12
"TRANS_WP30_221-en.xml","TRANS/WP.30/221","TOP_1000",1,22,1,12
"A_CN9_WGI_WP66-en.xml","A/CN.9/WG.I/WP.66","TOP_1000",23,29,4,9
"A_60_7_ADD1-42-en.xml","A/60/7/ADD.1-42","TOP_1000",0,69,0,13
"JOURNALNO2006_240-en.xml","JOURNAL NO.2006/240","TOP_1000",0,13,0,13
"JOURNALNO2006_243-en.xml","JOURNAL NO.2006/243","TOP_1000",0,16,0,13
"JOURNALNO2004_221-en.xml","JOURNAL NO. 2004/221","TOP_1000",0,18,0,13
"A_CN9_668-en.xml","A/CN.9/668","TOP_1000",15,56,3,10
"ECE_TRANS_136-en.xml","ECE/TRANS/136","TOP_1000",17,12,9,4
"A_CN9_594-en.xml","A/CN.9/594","TOP_1000",70,77,5,8
"A_CN9_WGI_WP67-en.xml","A/CN.9/WG.I/WP.67","TOP_1000",0,168,0,13
"S_2001_331-en.xml","S/2001/331","TOP_1000",13,0,12,0
"A_57_772-en.xml","A/57/772","TOP_1000",27,26,7,5
"TRANS_WP29_885-en.xml","TRANS/WP.29/885","TOP_1000",17,18,8,4
"A_59_115-en.xml","A/59/115","TOP_1000",17,1,11,1
"E_2000_23-E_CN4_2000_167-en.xml","E/2000/23-E/CN.4/2000/167","TOP_1000",12,20,7,5
"A_CN9_WGIII_WP101-en.xml","A/CN.9/WG.III/WP.101","TOP_1000",1,227,1,11
"A_CN9_510-en.xml","A/CN.9/510","TOP_1000",88,18,10,2
"A_61_858-en.xml","A/61/858","TOP_1000",8,19,6,6
"A_HRC_WG6_4_CUB_2-en.xml","A/HRC/WG.6/4/CUB/2","TOP_1000",0,13,0,12
"A_HRC_WG6_6_PKR_2-en.xml","A/HRC/WG.6/6/PKR/2","TOP_1000",0,12,0,12
"A_61_100_ADD1-en.xml","A/61/100/ADD.1","TOP_1000",0,28,0,12
"A_56_100-en.xml","A/56/100","TOP_1000",0,17,0,12
"A_62_274-en.xml","A/62/274","TOP_1000",11,9,10,2
"A_56_7SUPP-en.xml","A/56/7(SUPP)","TOP_1000",0,19,0,12
"A_C3_57_L70-en.xml","A/C.3/57/L.70","TOP_1000",22,0,12,0
"A_HRC_WG6_5_AFG_2-en.xml","A/HRC/WG.6/5/AFG/2","TOP_1000",0,12,0,12
"A_62_53-en.xml","A/62/53","TOP_1000",12,29,6,6
"A_HRC_WG6_6_COD_2-en.xml","A/HRC/WG.6/6/COD/2","TOP_1000",0,12,0,12
"A_57_276-en.xml","A/57/276","TOP_1000",12,5,10,2
"A_C2_56_7-en.xml","A/C.2/56/7","TOP_1000",15,0,12,0
"A_CN9_545-en.xml","A/CN.9/545","TOP_1000",61,22,4,8
"A_63_767-en.xml","A/63/767","TOP_1000",141,14,2,10
"A_60_537-en.xml","A/60/537","TOP_1000",38,3,10,2
"A_HRC_WG6_4_CAN_2-en.xml","A/HRC/WG.6/4/CAN/2","TOP_1000",0,19,0,12
"JOURNALNO2006_238-en.xml","JOURNAL NO.2006/238","TOP_1000",0,17,0,12
"JOURNALNO2006_236-en.xml","JOURNAL NO.2006/236","TOP_1000",0,15,0,12
"A_C3_57_L7-en.xml","A/C.3/57/L.7","TOP_1000",18,0,12,0
"A_CN9_WGI_WP60-en.xml","A/CN.9/WG.I/WP.60","TOP_1000",1,158,1,11
"A_60_111-en.xml","A/60/111","TOP_1000",20,1,11,1
"A_62_701-en.xml","A/62/701","TOP_1000",9,3,8,3
"A_59_736-en.xml","A/59/736","TOP_1000",39,14,8,3
"A_AC105_787-en.xml","A/AC.105/787","TOP_1000",18,4,8,3
"A_CN9_WGIII_WP21-en.xml","A/CN.9/WG.III/WP.21","TOP_1000",54,1,10,1
"A_AC105_761-en.xml","A/AC.105/761","TOP_1000",39,2,10,1
"A_63_389-en.xml","A/63/389","TOP_1000",9,8,6,5
"A_60_692-en.xml","A/60/692","TOP_1000",26,3,8,3
"A_64_10SUPP-en.xml","A/64/10 (SUPP)","TOP_1000",0,58,0,11
"A_CN9_WGI_WP49-en.xml","A/CN.9/WG.I/WP.49","TOP_1000",2,121,2,9
"A_62_66-en.xml","A/62/66","TOP_1000",35,7,7,4
"A_CN9_WGII_WP119-en.xml","A/CN.9/WG.II/WP.119","TOP_1000",17,14,6,5
"ECE_TRANS_152-en.xml","ECE/TRANS/152","TOP_1000",4,20,2,9
"A_CN9_508-en.xml","A/CN.9/508","TOP_1000",41,10,6,5
"A_CONF191_13-en.xml","A/CONF.191/13","TOP_1000",9,2,9,2
"A_CN9_WGIII_WP34-en.xml","A/CN.9/WG.III/WP.34","TOP_1000",50,1,10,1
"ECE_TRANS_WP30_225-en.xml","ECE/TRANS/WP.30/225","TOP_1000",0,23,0,11
"A_56_2SUPP-en.xml","A/56/2(SUPP)","TOP_1000",0,47,0,11
"A_HRC_6_15-en.xml","A/HRC/6/15","TOP_1000",12,0,11,0
"JOURNALNO2005_100-en.xml","JOURNAL NO.2005/100","TOP_1000",0,11,0,11
"A_CONF199_20-en.xml","A/CONF.199/20","TOP_1000",26,2,10,1
"A_C3_57_L48-en.xml","A/C.3/57/L.48","TOP_1000",16,0,11,0
"A_CN9_WGI_WP57-en.xml","A/CN.9/WG.I/WP.57","TOP_1000",0,161,0,11
"JOURNALNO2006_242-en.xml","JOURNAL NO.2006/242","TOP_1000",0,14,0,11
"JOURNALNO2005_99-en.xml","JOURNAL NO.2005/99","TOP_1000",0,11,0,11
"A_CN4_574-en.xml","A/CN.4/574","TOP_1000",16,39,7,4
"A_CN9_WGI_WP53-en.xml","A/CN.9/WG.I/WP.53","TOP_1000",1,144,1,10
"JOURNALNO2002_211-en.xml","JOURNAL NO. 2002/211","TOP_1000",0,19,0,11
"A_HRC_WG6_6_KHM_2-en.xml","A/HRC/WG.6/6/KHM/2","TOP_1000",0,11,0,11
"A_C3_60_L17-en.xml","A/C.3/60/L.17","TOP_1000",16,0,11,0
"A_CN9_WGIV_WP94-en.xml","A/CN.9/WG.IV/WP.94","TOP_1000",14,18,6,5
"A_CN9_WGII_WP138-en.xml","A/CN.9/WG.II/WP.138","TOP_1000",0,126,0,11
"A_CN9_524-en.xml","A/CN.9/524","TOP_1000",28,15,5,6
"A_CN9_WGIII_WP39-en.xml","A/CN.9/WG.III/WP.39","TOP_1000",122,96,5,5
"A_55_360-en.xml","A/55/360","TOP_1000",14,1,9,1
"A_62_793-en.xml","A/62/793","TOP_1000",14,1,9,1
"A_59_730-en.xml","A/59/730","TOP_1000",10,4,6,4
"A_57_7-en.xml","A/57/7","TOP_1000",9,5,5,5
"A_60_727-en.xml","A/60/727","TOP_1000",91,8,4,6
"A_60_807-en.xml","A/60/807","TOP_1000",4,99,3,7
"A_58_L19-en.xml","A/58/L.19","TOP_1000",18,1,9,1
"A_C3_59_L26-en.xml","A/C.3/59/L.26","TOP_1000",12,0,10,0
"JOURNALNO2004_241-en.xml","JOURNAL NO. 2004/241","TOP_1000",0,10,0,10
"A_56_326-en.xml","A/56/326","TOP_1000",8,3,7,3
"A_C1_59_L50-en.xml","A/C.1/59/L.50","TOP_1000",19,0,10,0
"JOURNALNO2006_232-en.xml","JOURNAL NO.2006/232","TOP_1000",0,10,0,10
"A_58_65-en.xml","A/58/65","TOP_1000",19,3,8,2
"A_57_444-en.xml","A/57/444","TOP_1000",16,0,10,0
"JOURNALNO2005_239-en.xml","JOURNAL NO.2005/239","TOP_1000",0,12,0,10
"E_CN4_2004_15-en.xml","E/CN.4/2004/15","TOP_1000",16,0,10,0
"A_57_304-en.xml","A/57/304","TOP_1000",11,0,10,0
"A_55_502-en.xml","A/55/502","TOP_1000",36,15,7,3
"A_CN4_610-en.xml","A/CN.4/610","TOP_1000",2,88,1,9
"A_CN9_WGII_WP131-en.xml","A/CN.9/WG.II/WP.131","TOP_1000",13,141,2,8
"A_60_312-en.xml","A/60/312","TOP_1000",10,3,7,3
"A_58_323-en.xml","A/58/323","TOP_1000",13,10,8,2
"A_57_434-en.xml","A/57/434","TOP_1000",10,3,7,3
"A_57_20-en.xml","A/57/20","TOP_1000",10,35,4,6
"A_62_783-en.xml","A/62/783","TOP_1000",78,12,2,8
"ST_SGB_2002_6-en.xml","ST/SGB/2002/6","TOP_1000",68,0,10,0
"S_2003_529-en.xml","S/2003/529","TOP_1000",10,0,10,0
"JOURNALNO2004_225-en.xml","JOURNAL NO. 2004/225","TOP_1000",0,19,0,10
"JOURNALNO2004_212-en.xml","JOURNAL NO. 2004/212","TOP_1000",0,11,0,10
"TRANS_WP30_AC2_70-en.xml","TRANS/WP.30/AC.2/70","TOP_1000",59,18,3,7
"JOURNALNO2002_210-en.xml","JOURNAL NO. 2002/210","TOP_1000",0,15,0,10
"A_54_2000-en.xml","A/54/2000","TOP_1000",11,0,10,0
"A_CN9_523-en.xml","A/CN.9/523","TOP_1000",40,24,5,5
"A_CN9_525-en.xml","A/CN.9/525","TOP_1000",60,12,7,3
"A_58_7_ADD1-30SUPP-en.xml","A/58/7/ADD.1-30(SUPP)","TOP_1000",0,28,0,10
"ST_SGB_2002_1-en.xml","ST/SGB/2002/1","TOP_1000",66,1,9,1
"A_AC105_804-en.xml","A/AC.105/804","TOP_1000",37,11,6,4
"JOURNALNO2002_241-en.xml","JOURNAL NO. 2002/241","TOP_1000",0,15,0,9
"A_58_346-en.xml","A/58/346","TOP_1000",9,7,6,3
"A_63_10SUPP-en.xml","A/63/10(SUPP)","TOP_1000",0,45,0,9
"JOURNALNO2004_210-en.xml","JOURNAL NO. 2004/210","TOP_1000",0,13,0,9
"A_59_360-en.xml","A/59/360","TOP_1000",12,2,8,1
"ST_IC_2005_1-en.xml","ST/IC/2005/1","TOP_1000",0,44,0,9
"TRANS_2005_1-en.xml","TRANS/2005/1","TOP_1000",0,16,0,9
"ST_IC_2006_1-en.xml","ST/IC/2006/1","TOP_1000",0,45,0,9
"A_CN9_546-en.xml","A/CN.9/546","TOP_1000",8,47,1,8
"A_CN9_547-en.xml","A/CN.9/547","TOP_1000",99,31,2,7
"JOURNALNO2004_242-en.xml","JOURNAL NO. 2004/242","TOP_1000",0,9,0,9
"A_CN9_642-en.xml","A/CN.9/642","TOP_1000",77,87,1,8
"A_CN9_509-en.xml","A/CN.9/509","TOP_1000",90,16,5,4
"A_58_759-en.xml","A/58/759","TOP_1000",22,24,3,6
"ST_IC_2004_1-en.xml","ST/IC/2004/1","TOP_1000",0,43,0,9
"A_CN9_WGI_WP41-en.xml","A/CN.9/WG.I/WP.41","TOP_1000",3,73,3,6
"JOURNALNO2004_202-en.xml","JOURNAL NO. 2004/202","TOP_1000",0,12,0,9
"A_56_887-en.xml","A/56/887","TOP_1000",28,17,5,4
"A_61_299-en.xml","A/61/299","TOP_1000",17,0,9,0
"A_57_620-en.xml","A/57/620","TOP_1000",9,6,7,2
"S_2003_1035-en.xml","S/2003/1035","TOP_1000",16,5,8,1
"A_CN9_WGIII_WP36-en.xml","A/CN.9/WG.III/WP.36","TOP_1000",66,94,6,3
"S_INF_63-en.xml","S/INF/63","TOP_1000",0,12,0,9
"E_CN4_2001_1_ADD1-en.xml","E/CN.4/2001/1/ADD.1","TOP_1000",0,18,0,9
"A_61_129-en.xml","A/61/129","TOP_1000",10,3,6,3
"A_HRC_2_9-en.xml","A/HRC/2/9","TOP_1000",21,9,1,8
"A_63_3-en.xml","A/63/3","TOP_1000",3,7,3,6
"JOURNALNO2002_222-en.xml","JOURNAL NO. 2002/222","TOP_1000",0,9,0,9
"A_CN9_571-en.xml","A/CN.9/571","TOP_1000",3,30,3,6
"ST_AI_2001_5-en.xml","ST/AI/2001/5","TOP_1000",49,0,9,0
"A_57_469-en.xml","A/57/469","TOP_1000",8,2,7,2
"ST_AI_2002_4-en.xml","ST/AI/2002/4","TOP_1000",17,3,8,1
"A_CN9_WGIV_WP95-en.xml","A/CN.9/WG.IV/WP.95","TOP_1000",32,17,7,2
"A_CN9_528-en.xml","A/CN.9/528","TOP_1000",46,55,3,6
"A_CN9_527-en.xml","A/CN.9/527","TOP_1000",44,30,4,5
"A_59_254-en.xml","A/59/254","TOP_1000",6,6,5,3
"A_59_710-en.xml","A/59/710","TOP_1000",25,3,7,1
"A_63_841-en.xml","A/63/841","TOP_1000",2,158,1,7
"A_57_165-en.xml","A/57/165","TOP_1000",10,4,5,3
"A_HRC_7_78-en.xml","A/HRC/7/78","TOP_1000",1,9,1,7
"A_55_117-en.xml","A/55/117","TOP_1000",14,0,8,0
"A_AC105_763-en.xml","A/AC.105/763","TOP_1000",14,2,7,1
"TRANS_WP29_841-en.xml","TRANS/WP.29/841","TOP_1000",30,9,6,2
"A_CONF202_3-en.xml","A/CONF.202/3","TOP_1000",8,1,7,1
"A_CN9_WGI_WP46-en.xml","A/CN.9/WG.I/WP.46","TOP_1000",1,95,1,7
"A_60_901-en.xml","A/60/901","TOP_1000",24,1,7,1
"S_2003_223-en.xml","S/2003/223","TOP_1000",16,0,8,0
"A_CN9_484-en.xml","A/CN.9/484","TOP_1000",65,0,8,0
"A_58_729-en.xml","A/58/729","TOP_1000",10,0,8,0
"S_PRST_2002_6-en.xml","S/PRST/2002/6","TOP_1000",8,1,7,1
"JOURNALNO2004_204-en.xml","JOURNAL NO. 2004/204","TOP_1000",0,25,0,8
"JOURNALNO2004_207-en.xml","JOURNAL NO. 2004/207","TOP_1000",0,9,0,8
"A_61_394-en.xml","A/61/394","TOP_1000",4,16,2,6
"ECE_TRANS_162-en.xml","ECE/TRANS/162","TOP_1000",0,15,0,8
"A_58_573-en.xml","A/58/573","TOP_1000",3,10,2,6
"A_59_303-en.xml","A/59/303","TOP_1000",103,3,5,3
"A_57_152-en.xml","A/57/152","TOP_1000",8,0,8,0
"JOURNALNO2004_203-en.xml","JOURNAL NO. 2004/203","TOP_1000",0,26,0,8
"A_59_3-en.xml","A/59/3","TOP_1000",7,3,6,2
"A_56_306-en.xml","A/56/306","TOP_1000",13,1,7,1
"A_HRC_8_52-en.xml","A/HRC/8/52","TOP_1000",68,37,3,5
"A_AC105_848-en.xml","A/AC.105/848","TOP_1000",21,13,3,5
"A_58_462-en.xml","A/58/462","TOP_1000",10,2,6,2
"S_2002_1154-en.xml","S/2002/1154","TOP_1000",8,2,6,2
"JOURNALNO2004_243-en.xml","JOURNAL NO. 2004/243","TOP_1000",0,8,0,8
"A_62_439_ADD2-en.xml","A/62/439/ADD.2","TOP_1000",0,35,0,8
"JOURNALNO2002_216-en.xml","JOURNAL NO. 2002/216","TOP_1000",0,10,0,8
"A_62_582-en.xml","A/62/582","TOP_1000",9,2,6,2
"E_CN4_2006_1_ADD1-en.xml","E/CN.4/2006/1/ADD.1","TOP_1000",0,8,0,8
"JOURNALNO2006_231-en.xml","JOURNAL NO.2006/231","TOP_1000",0,8,0,8
"A_60_63-en.xml","A/60/63","TOP_1000",9,12,3,5
"A_C4_55_6-en.xml","A/C.4/55/6","TOP_1000",29,3,6,2
"S_2000_460-en.xml","S/2000/460","TOP_1000",18,0,8,0
"A_59_397-en.xml","A/59/397","TOP_1000",8,0,7,0
"E_CN4_2004_9-en.xml","E/CN.4/2004/9","TOP_1000",7,1,6,1
