source, target, value
"JOURNAL NO.2007/223","A/C.6/62/L.18",2
"JOURNAL NO.2007/223","A/C.6/62/L.9",2
"JOURNAL NO.2007/223","1373/1373.htm",1
"JOURNAL NO.2007/223","1373/index.html",1
"JOURNAL NO.2007/223","2005/",1
"JOURNAL NO.2007/223","8/docs",1
"JOURNAL NO.2007/223","8/menu.php",1
"JOURNAL NO.2007/223","A./C.3/62/L.84",1
"JOURNAL NO.2007/223","A/62/16",1
"JOURNAL NO.2007/223","A/62/229",1
"JOURNAL NO.2007/223","A/62/323",1
"JOURNAL NO.2007/223","A/62/324",1
"JOURNAL NO.2007/223","A/62/324/Corr.1",1
"JOURNAL NO.2007/223","A/62/324/Corr.2",1
"JOURNAL NO.2007/223","A/62/349",1
"JOURNAL NO.2007/223","A/62/412",1
"JOURNAL NO.2007/223","A/62/467",1
"JOURNAL NO.2007/223","A/62/53.",1
"JOURNAL NO.2007/223","A/62/7",1
"JOURNAL NO.2007/223","A/62/7/Corr.1",1
"JOURNAL NO.2007/223","A/62/72",1
"JOURNAL NO.2007/223","A/62/80",1
"JOURNAL NO.2007/223","A/62/80/Add.1",1
"JOURNAL NO.2007/223","A/62/80/Corr.1",1
"JOURNAL NO.2007/223","A/62/80/Corr.2",1
"JOURNAL NO.2007/223","A/62/80/Corr.3",1
"JOURNAL NO.2007/223","A/62/82",1
"JOURNAL NO.2007/223","A/62/83",1
"JOURNAL NO.2007/223","A/62/87",1
"JOURNAL NO.2007/223","A/62/91",1
"JOURNAL NO.2007/223","A/62/L.12",1
"JOURNAL NO.2007/223","A/AC.109/2007/SR.8",1
"JOURNAL NO.2007/223","A/C./2/62/L.35",1
"JOURNAL NO.2007/223","A/C.2/62/L.35.",1
"JOURNAL NO.2007/223","A/C.2/62/L.36.",1
"JOURNAL NO.2007/223","A/C.2/62/L.7/Rev.1",1
"JOURNAL NO.2007/223","A/C.2/62/L.8",1
"JOURNAL NO.2007/223","A/C.3/62/L.10",1
"JOURNAL NO.2007/223","A/C.3/62/L.14/Rev.1",1
"JOURNAL NO.2007/223","A/C.3/62/L.18/Rev.1",1
"JOURNAL NO.2007/223","A/C.3/62/L.18/Rev.1.",1
"JOURNAL NO.2007/223","A/C.3/62/L.21/Rev.1",1
"JOURNAL NO.2007/223","A/C.3/62/L.30",1
"JOURNAL NO.2007/223","A/C.3/62/L.31",1
"JOURNAL NO.2007/223","A/C.3/62/L.35",1
"JOURNAL NO.2007/223","A/C.3/62/L.36/Rev.1",1
"JOURNAL NO.2007/223","A/C.3/62/L.39",1
"JOURNAL NO.2007/223","A/C.3/62/L.45",1
"JOURNAL NO.2007/223","A/C.3/62/L.46",1
"JOURNAL NO.2007/223","A/C.3/62/L.48",1
"JOURNAL NO.2007/223","A/C.3/62/L.50",1
"JOURNAL NO.2007/223","A/C.3/62/L.52",1
"JOURNAL NO.2007/223","A/C.3/62/L.54",1
"JOURNAL NO.2007/223","A/C.3/62/L.55",1
"JOURNAL NO.2007/223","A/C.3/62/L.56",1
"JOURNAL NO.2007/223","A/C.3/62/L.56.",1
"JOURNAL NO.2007/223","A/C.3/62/L.60",1
"JOURNAL NO.2007/223","A/C.3/62/L.60.",1
"JOURNAL NO.2007/223","A/C.3/62/L.61",1
"JOURNAL NO.2007/223","A/C.3/62/L.62",1
"JOURNAL NO.2007/223","A/C.3/62/L.63",1
"JOURNAL NO.2007/223","A/C.3/62/L.65",1
"JOURNAL NO.2007/223","A/C.3/62/L.66",1
"JOURNAL NO.2007/223","A/C.3/62/L.67",1
"JOURNAL NO.2007/223","A/C.3/62/L.78",1
"JOURNAL NO.2007/223","A/C.3/62/L.79",1
"JOURNAL NO.2007/223","A/C.3/62/L.80",1
"JOURNAL NO.2007/223","A/C.3/62/L.81",1
"JOURNAL NO.2007/223","A/C.3/62/L.82",1
"JOURNAL NO.2007/223","A/C.3/62/L.84.",1
"JOURNAL NO.2007/223","A/C.3/62/L.85.",1
"JOURNAL NO.2007/223","A/C.4/62/L.11",1
"JOURNAL NO.2007/223","A/C.4/62/L.12",1
"JOURNAL NO.2007/223","A/C.4/62/L.13",1
"JOURNAL NO.2007/223","A/C.4/62/L.14",1
"JOURNAL NO.2007/223","A/C.4/62/L.15",1
"JOURNAL NO.2007/223","A/C.4/62/L.16",1
"JOURNAL NO.2007/223","A/C.4/62/L.18",1
"JOURNAL NO.2007/223","A/C.6/61/L.21",1
"JOURNAL NO.2007/223","A/C.6/62/L.10",1
"JOURNAL NO.2007/223","A/C.6/62/L.11",1
"JOURNAL NO.2007/223","A/C.6/62/L.12",1
"JOURNAL NO.2007/223","A/C.6/62/L.13",1
"JOURNAL NO.2007/223","A/C.6/62/L.14",1
"JOURNAL NO.2007/223","A/C.6/62/L.16",1
"JOURNAL NO.2007/223","A/C.6/62/L.17",1
"JOURNAL NO.2007/223","A/C.6/62/L.19",1
"JOURNAL NO.2007/223","A/C.6/62/L.20",1
"JOURNAL NO.2007/223","A/C.6/62/L.22",1
"JOURNAL NO.2007/223","CEDAW/C/SR.803",1
"JOURNAL NO.2007/223","CEDAW/C/SR.808",1
"JOURNAL NO.2007/223","CEDAW/C/SR.809",1
"JOURNAL NO.2007/223","DGACM/index_arabic.htm",1
"JOURNAL NO.2007/223","DGACM/index_chinese.htm",1
"JOURNAL NO.2007/223","DGACM/index_eng.htm",1
"JOURNAL NO.2007/223","DGACM/index_french.htm",1
"JOURNAL NO.2007/223","DGACM/index_russian.htm",1
"JOURNAL NO.2007/223","DGACM/index_spanish.htm",1
"JOURNAL NO.2007/223","E/C.2/2008/2",1
"JOURNAL NO.2007/223","E/C.2/2008/2/Add.1",1
"JOURNAL NO.2007/223","E/C.2/2008/2/Add.2",1
"JOURNAL NO.2007/223","S/2007/657",1
"JOURNAL NO.2007/223","S/Agenda",1
"JOURNAL NO.2007/223","ST/IC/2007/47",1
"JOURNAL NO.2007/223","ST/SG/SER.C/L.616",1
"A/ES-10/L.20","ES-10/15",6
"A/ES-10/L.20","A/ES-10/273",1
"A/ES-10/L.20","ES-10/14",1
"JOURNAL NO.2007/221","A/62/6",59
"JOURNAL NO.2007/221","A/C.3/62/L.29",17
"JOURNAL NO.2007/221","A/C.3/62/L.67",3
"JOURNAL NO.2007/221","A/C.3/62/L.78",3
"JOURNAL NO.2007/221","A/C.3/62/L.79",3
"JOURNAL NO.2007/221","A/C.3/62/L.80",3
"JOURNAL NO.2007/221","A/C.3/62/L.81",3
"JOURNAL NO.2007/221","A/C.2/62/L.34",2
"JOURNAL NO.2007/221","A/C.3/62/L.16/Rev.2",2
"JOURNAL NO.2007/221","A/C.3/62/L.32",2
"JOURNAL NO.2007/221","A/C.3/62/L.60",2
"JOURNAL NO.2007/221","A/C.3/62/L.66",2
"JOURNAL NO.2007/221","A/C.3/62/L.68",2
"JOURNAL NO.2007/221","A/C.3/62/L.69",2
"JOURNAL NO.2007/221","A/C.3/62/L.70",2
"JOURNAL NO.2007/221","A/C.3/62/L.71",2
"JOURNAL NO.2007/221","A/C.3/62/L.72",2
"JOURNAL NO.2007/221","A/C.3/62/L.73",2
"JOURNAL NO.2007/221","A/C.3/62/L.74",2
"JOURNAL NO.2007/221","A/C.3/62/L.75",2
"JOURNAL NO.2007/221","A/C.3/62/L.76",2
"JOURNAL NO.2007/221","A/C.3/62/L.77",2
"JOURNAL NO.2007/221","A/C.4/62/L.7",2
"JOURNAL NO.2007/221","S/Agenda",2
"JOURNAL NO.2007/221","8/docs",1
"JOURNAL NO.2007/221","8/menu.php",1
"JOURNAL NO.2007/221","A/62/100/Corr.1",1
"JOURNAL NO.2007/221","A/62/107",1
"JOURNAL NO.2007/221","A/62/123",1
"JOURNAL NO.2007/221","A/62/16",1
"JOURNAL NO.2007/221","A/62/2",1
"JOURNAL NO.2007/221","A/62/2.",1
"JOURNAL NO.2007/221","A/62/229",1
"JOURNAL NO.2007/221","A/62/349",1
"JOURNAL NO.2007/221","A/62/466",1
"JOURNAL NO.2007/221","A/62/512/Add.1",1
"JOURNAL NO.2007/221","A/62/528",1
"JOURNAL NO.2007/221","A/62/529",1
"JOURNAL NO.2007/221","A/62/53",1
"JOURNAL NO.2007/221","A/62/530",1
"JOURNAL NO.2007/221","A/62/531",1
"JOURNAL NO.2007/221","A/62/532",1
"JOURNAL NO.2007/221","A/62/533",1
"JOURNAL NO.2007/221","A/62/534",1
"JOURNAL NO.2007/221","A/62/535",1
"JOURNAL NO.2007/221","A/62/536",1
"JOURNAL NO.2007/221","A/62/7",1
"JOURNAL NO.2007/221","A/62/7/Add.6",1
"JOURNAL NO.2007/221","A/62/7/Corr.1",1
"JOURNAL NO.2007/221","A/62/80",1
"JOURNAL NO.2007/221","A/62/80/Add.1",1
"JOURNAL NO.2007/221","A/62/80/Corr.1",1
"JOURNAL NO.2007/221","A/62/80/Corr.2",1
"JOURNAL NO.2007/221","A/62/80/Corr.3",1
"JOURNAL NO.2007/221","A/62/91",1
"JOURNAL NO.2007/221","A/62/L.12",1
"JOURNAL NO.2007/221","A/62/PV.18",1
"JOURNAL NO.2007/221","A/62/PV.21",1
"JOURNAL NO.2007/221","A/C.2/62/L.33",1
"JOURNAL NO.2007/221","A/C.3/62/L.17/Rev.1",1
"JOURNAL NO.2007/221","A/C.3/62/L.18/Rev.1",1
"JOURNAL NO.2007/221","A/C.3/62/L.29.",1
"JOURNAL NO.2007/221","A/C.3/62/L.30",1
"JOURNAL NO.2007/221","A/C.3/62/L.31",1
"JOURNAL NO.2007/221","A/C.3/62/L.35",1
"JOURNAL NO.2007/221","A/C.3/62/L.36/Rev.1",1
"JOURNAL NO.2007/221","A/C.3/62/L.38",1
"JOURNAL NO.2007/221","A/C.3/62/L.39",1
"JOURNAL NO.2007/221","A/C.3/62/L.45",1
"JOURNAL NO.2007/221","A/C.3/62/L.46",1
"JOURNAL NO.2007/221","A/C.3/62/L.5/Rev.1",1
"JOURNAL NO.2007/221","A/C.3/62/L.56",1
"JOURNAL NO.2007/221","A/C.3/62/L.61and",1
"JOURNAL NO.2007/221","A/C.3/62/L.62",1
"JOURNAL NO.2007/221","A/C.3/62/L.64",1
"JOURNAL NO.2007/221","A/C.3/62/L.82",1
"JOURNAL NO.2007/221","A/C.3/62/L.84",1
"JOURNAL NO.2007/221","A/C.3/62/L.851",1
"JOURNAL NO.2007/221","A/C.3/62/L.9",1
"JOURNAL NO.2007/221","A/C.4/62/CRP.1/Rev.1.",1
"JOURNAL NO.2007/221","A/C.4/62/L.7.",1
"JOURNAL NO.2007/221","CEDAW/C/2008/I/3/Add.1",1
"JOURNAL NO.2007/221","DP/2008/2",1
"JOURNAL NO.2007/221","DPI/NGO",1
"JOURNAL NO.2007/221","E/C.19/2007/INF/2/Rev.1",1
"JOURNAL NO.2007/221","E/CN.5/2008/3",1
"JOURNAL NO.2007/221","S/2007/10/Add.41",1
"JOURNAL NO.2007/221","S/2007/10/Add.42",1
"JOURNAL NO.2007/221","S/2007/10/Add.43",1
"JOURNAL NO.2007/221","S/PRST/2007/43",1
"E/CN.4/2005/78","2004/68/JHA",2
"E/CN.4/2005/78","2001/C",1
"E/CN.4/2005/78","2004/48",1
"E/CN.4/2005/78","2004/48.",1
"E/CN.4/2005/78","283/01",1
"E/CN.4/2005/78","E/CN.4/2004/9/Add.2",1
"E/CN.4/2005/78","E/CN.4/2005/78/Add.1",1
"E/CN.4/2005/78","E/CN.4/2005/78/Add.2",1
"E/CN.4/2005/78","E/CN.4/2005/78/Add.3",1
"E/CN.4/2005/78","S-27/2",1
"S/2004/431","HIV/AIDS",3
"S/2004/431","A/58/546-S/2003/1053",1
"S/2004/431","HIV/AIDS.",1
"S/2004/431","S/2002/1154",1
"S/2004/431","S/2002/1300",1
"S/2004/431","S/PRST/2002/41",1
"S/2004/431","S/PRST/2003/27",1
"S/2004/431","ST/SGB/2003/13",1
"A/CN.9/WG.III/WP.39","A/CN.9/552",77
"A/CN.9/WG.III/WP.39","A/CN.9/552.",20
"A/CN.9/WG.III/WP.39","A/CN.9/WG.III/WP.32",8
"A/CN.9/WG.III/WP.39","A/CN.9/WG.III/WP.34",6
"A/CN.9/WG.III/WP.39","A/CN.9/WG.III/WP.36",4
"A/CN.9/WG.III/WP.39","A/CN.9/WG.III/WP.32.",2
"A/CN.9/WG.III/WP.39","A/CN.9/525",1
"A/CN.9/WG.III/WP.39","A/CN.9/WG.III/WP.34.",1
"A/CN.9/WG.III/WP.39","A/CN.9/WG.III/WP.36.",1
"A/59/397","A/58/6",4
"A/59/397","52/12",3
"A/59/397","58/270",3
"A/59/397","54/15",2
"A/59/397","A/57/363",2
"A/59/397","A/58/404",1
"A/59/397","UNDP/United",1
"A/CONF.203/RPM.1/1","A/CONF.203/RPM.1/L.1/Rev.1",3
"A/CONF.203/RPM.1/1","55/25",2
"A/CONF.203/RPM.1/1","55/255",2
"A/CONF.203/RPM.1/1","57/171",2
"A/CONF.203/RPM.1/1","58/138",2
"A/CONF.203/RPM.1/1","58/4",2
"A/CONF.203/RPM.1/1","A/CONF.203/RPM.1/L.2",2
"A/CONF.203/RPM.1/1","1995/9",1
"A/CONF.203/RPM.1/1","2002/13",1
"A/CONF.203/RPM.1/1","51/210",1
"A/CONF.203/RPM.1/1","56/119",1
"A/CONF.203/RPM.1/1","58/138.",1
"A/CONF.203/RPM.1/1","A/CONF.203/PM.1",1
"A/CONF.203/RPM.1/1","A/CONF.203/RPM.3",1
"A/C.2/56/SR.40","A/C.2/56/L.11",5
"A/C.2/56/SR.40","A/C.2/56/L.39",4
"A/C.2/56/SR.40","A/C.2/56/L.68",4
"A/C.2/56/SR.40","A/C.2/56/L.70",4
"A/C.2/56/SR.40","A/C.2/56/L.13",3
"A/C.2/56/SR.40","A/C.2/56/L.18",3
"A/C.2/56/SR.40","A/C.2/56/L.2",3
"A/C.2/56/SR.40","A/C.2/56/L.24",3
"A/C.2/56/SR.40","A/C.2/56/L.30",3
"A/C.2/56/SR.40","A/C.2/56/L.40",3
"A/C.2/56/SR.40","A/C.2/56/L.41",3
"A/C.2/56/SR.40","A/C.2/56/L.50",3
"A/C.2/56/SR.40","A/C.2/56/L.51",3
"A/C.2/56/SR.40","A/C.2/56/L.59",3
"A/C.2/56/SR.40","A/C.2/56/L.66",3
"A/C.2/56/SR.40","2001/101/Add.1",2
"A/C.2/56/SR.40","41/213.",2
"A/C.2/56/SR.40","50/115",2
"A/C.2/56/SR.40","A/56/127-E/2001/101",2
"A/C.2/56/SR.40","A/56/127/Add.1-E",2
"A/C.2/56/SR.40","A/56/174",2
"A/C.2/56/SR.40","A/56/19",2
"A/C.2/56/SR.40","A/56/208",2
"A/C.2/56/SR.40","A/56/221",2
"A/C.2/56/SR.40","A/56/297",2
"A/C.2/56/SR.40","A/56/3",2
"A/C.2/56/SR.40","A/56/434",2
"A/C.2/56/SR.40","A/56/459",2
"A/C.2/56/SR.40","A/C.2/56/L.17/Rev.1",2
"A/C.2/56/SR.40","A/C.2/56/L.25",2
"A/C.2/56/SR.40","A/C.2/56/L.26",2
"A/C.2/56/SR.40","A/C.2/56/L.37",2
"A/C.2/56/SR.40","A/C.2/56/L.64",2
"A/C.2/56/SR.40","A/C.2/56/L.67",2
"A/C.2/56/SR.40","A/C.2/56/L.69",2
"A/C.2/56/SR.40","A/C.2/56/L.71",2
"A/C.2/56/SR.40","A/C.2/56/L.71.",2
"A/C.2/56/SR.40","A/C.2/56/L.72",2
"A/C.2/56/SR.40","A/C.2/56/L.73",2
"A/C.2/56/SR.40","A/C.2/56/L.74",2
"A/C.2/56/SR.40","A/C.2/56/L.75",2
"A/C.2/56/SR.40","A/C.2/56/L.76",2
"A/C.2/56/SR.40","A/C.2/56/L.77",2
"A/C.2/56/SR.40","A/C.2/56/L.78",2
"A/C.2/56/SR.40",".1/Corr.1",1
"A/C.2/56/SR.40","45/248",1
"A/C.2/56/SR.40","50/225",1
"A/C.2/56/SR.40","A/56/645/Add.1",1
"A/C.2/56/SR.40","A/C.2/45/L.17/Rev.1",1
"A/C.2/56/SR.40","A/C.2/56/L.13.",1
"A/C.2/56/SR.40","A/C.2/56/L.17/Rev.1.",1
"A/C.2/56/SR.40","A/C.2/56/L.19",1
"A/C.2/56/SR.40","A/C.2/56/L.2.",1
"A/C.2/56/SR.40","A/C.2/56/L.24.",1
"A/C.2/56/SR.40","A/C.2/56/L.25.",1
"A/C.2/56/SR.40","A/C.2/56/L.26.",1
"A/C.2/56/SR.40","A/C.2/56/L.30.",1
"A/C.2/56/SR.40","A/C.2/56/L.37.",1
"A/C.2/56/SR.40","A/C.2/56/L.41.",1
"A/C.2/56/SR.40","A/C.2/56/L.55",1
"A/C.2/56/SR.40","A/C.2/56/L.59.",1
"A/C.2/56/SR.40","A/C.2/56/L.60",1
"A/C.2/56/SR.40","A/C.2/56/L.70.",1
"A/C.2/56/SR.40","A/C.2/56/L.76.",1
"A/C.2/56/SR.40","A/C.2/56/L.77.",1
"A/C.2/56/SR.40","L.17/Rev.1",1
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/2003/52",13
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/2004/55",13
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/2000/55",12
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/2003/51",10
"E/CN.4/2005/80/ADD.1","E/CN.4/2000/83/Add.1",7
"E/CN.4/2005/80/ADD.1","E/CN.4/2001/5/Add.5",7
"E/CN.4/2005/80/ADD.1","E/CN.4/SUB.2/RES/2002/23",7
"E/CN.4/2005/80/ADD.1","E/CN.4/2000/83/Add.3",6
"E/CN.4/2005/80/ADD.1","E/CN.4/2001/5/Add.4",6
"E/CN.4/2005/80/ADD.1","E/CN.4/2003/86/Add.4",6
"E/CN.4/2005/80/ADD.1","E/CN.4/1995/50/Add.2",5
"E/CN.4/2005/80/ADD.1","E/CN.4/1995/50/Add.4",5
"E/CN.4/2005/80/ADD.1","E/CN.4/1997/43/Add.1",5
"E/CN.4/2005/80/ADD.1","E/CN.4/2002/95/Add.2",5
"E/CN.4/2005/80/ADD.1","E/CN.4/2004/77/Add.2",5
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/1996/51",5
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/1997/75",5
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/1998/49",5
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/2001/54",5
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/2002/56",5
"E/CN.4/2005/80/ADD.1","E/CN.4/SUB.2/RES/2001/16",5
"E/CN.4/2005/80/ADD.1","E/CN.4/1996/52/Add.1",4
"E/CN.4/2005/80/ADD.1","E/CN.4/1999/79/Add.1",4
"E/CN.4/2005/80/ADD.1","E/CN.4/2001/5/Add.3",4
"E/CN.4/2005/80/ADD.1","E/CN.4/2003/86",4
"E/CN.4/2005/80/ADD.1","E/CN.4/2003/86/Add.3",4
"E/CN.4/2005/80/ADD.1","E/CN.4/2004/77/Add.1",4
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/1995/88",4
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/1995/91",4
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/1997/77",4
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/2000/53",4
"E/CN.4/2005/80/ADD.1","E/CN.4/SUB.2/RES/1997/29",4
"E/CN.4/2005/80/ADD.1","2003/52",3
"E/CN.4/2005/80/ADD.1","E/CN.4/1995/50/Add.1",3
"E/CN.4/2005/80/ADD.1","E/CN.4/1996/52",3
"E/CN.4/2005/80/ADD.1","E/CN.4/1997/6/Add.2",3
"E/CN.4/2005/80/ADD.1","E/CN.4/1998/53/Add.1",3
"E/CN.4/2005/80/ADD.1","E/CN.4/1998/53/Add.2",3
"E/CN.4/2005/80/ADD.1","E/CN.4/2001/5",3
"E/CN.4/2005/80/ADD.1","E/CN.4/2001/5/Add.1",3
"E/CN.4/2005/80/ADD.1","E/CN.4/2002/95/Add.1",3
"E/CN.4/2005/80/ADD.1","E/CN.4/2003/45",3
"E/CN.4/2005/80/ADD.1","E/CN.4/2003/86/Add.1",3
"E/CN.4/2005/80/ADD.1","E/CN.4/2004/48",3
"E/CN.4/2005/80/ADD.1","E/CN.4/2004/5",3
"E/CN.4/2005/80/ADD.1","E/CN.4/2004/56",3
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/1994/66",3
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/1999/47",3
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/2001/19",3
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/2001/49",3
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/2002/15",3
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/2002/16",3
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/2004/61",3
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/2004/8",3
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/2004/80",3
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/2004/84",3
"E/CN.4/2005/80/ADD.1","E/CN.4/SUB.2/RES/1994/24",3
"E/CN.4/2005/80/ADD.1","E/CN.4/SUB.2/RES/1995/13",3
"E/CN.4/2005/80/ADD.1","E/CN.4/SUB.2/RES/1996/9",3
"E/CN.4/2005/80/ADD.1","E/CN.4/SUB.2/RES/2000/20",3
"E/CN.4/2005/80/ADD.1","E/CN.4/",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1994/110",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1994/31",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1994/44",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1994/44/Add.1",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1994/84",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1995/34",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1995/50",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1996/13",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1996/14",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1996/35/Add.1",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1996/52/Add.2",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1996/65",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1997/58",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1997/7/Add.1",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1997/90",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1998/14",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1998/38/Add.1",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1998/53",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1998/63",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1998/64",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1998/70",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1999/61",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1999/63/Add.2",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1999/79",2
"E/CN.4/2005/80/ADD.1","E/CN.4/1999/79/Add.2",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2000/39",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2000/64",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2000/68/Add.1",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2000/68/Add.5",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2000/83",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2000/83/Add.2",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2000/9",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2001/43",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2001/66",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2001/73/Add.1",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2001/83",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2002/37",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2002/49",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2002/76/Add.1",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2002/95",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2003/35",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2003/68/Add.1",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2003/85",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2003/86/Add.2",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2003/86/Add.6",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2003/90",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2004/106",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2004/13",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2004/7",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2004/77",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2004/77/Add.4",2
"E/CN.4/2005/80/ADD.1","E/CN.4/2005/80/Add.1",2
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/1995/89",2
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/1996/1",2
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/1996/52",2
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/1996/57",2
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/1996/59",2
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/1998/52",2
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/1999/56",2
"E/CN.4/2005/80/ADD.1","E/CN.4/RES/1999/9",2
